id,name,thread 
1348,Page 2,"""Daddy! Are you here?""Cheryl called out in a loud voice right after Harry left the house.There is no answer.There is no helping it.With no other choice Cheryl rushed to the phone and picked up the receiver."
1349,Page 3,"""Hello.""""Oh, Cheryl. It's daddy.""""Daddy? Where are you now?""""I am in front of the mailbox.I am meeting an acquaintance of mine.I will be done soon."""
1350,Page 4,"""Hurry up and come home.Or else it will get late.""""Yeah...sorry.I will hurry home.By the way Cheryl, there is a place I want to stop before we go to theamusement park. Is that ok?""""Where?"""
1351,Page 5,"""Silent Hill.""The End D-1You will now receive the following Digital Trading Card:24. Study_______________________________________________________________________________第十五章　「自宅」                            　    　　                   15-9電話まで引き返す                                                        (Black)Chapter 15   ""Home""Harry goes back to the phone"
1352,Page 1 (Telephone on desk),I reluctantly turn and run to the phone.At this hour the only person I could imagine calling would be someone fromthe publishing company.
1353,Page 2,"""Hello...""..........................."
1354,Page 3,The telephone is silent...Perhaps it's a prank call?
1355,Page 4,"""Hello?If you have nothing to say then I am going to hang up.I have no interest in dealing with a prank call.""At the moment I was about to hang up the receiver the unseen caller finallyspoke."
1356,Page 5,(......Hello......)My hand holding the receiver trembles.That voice is...!
1357,Page 6,"That voice is......There is no doubt.The receiver fell to the floor, but I did not notice."
1358,Page 7 (Black),Seven years ago...The town clouded with fog...The school stained with the smell of mildew...The empty teacher's room...On the table...
1359,Page 8,"The fragments of my memory come together in my head like a jigsaw puzzle.There is no doubt, that..."
1360,Page 9 (Cheryl in chair),"I rush up the stairs.""Cheryl...!""Cheryl had completed getting ready, and was sitting quietly on a three-leggedwooden chair."
1361,Page 10,"""What's wrong? Daddy?""""I'm sorry...but something urgent has come up.It doesn't look like we will be able to go to the amusement park.I will have to leave you here alone, but...will you be ok?"""
1362,Page 11,"The expression that I expected appeared on Cheryl's face.""Hey, you promised!""""I'm sorry...I have to go right away..."""
1363,Page 12,Suddenly a different memory rose up in my mind.
1364,Page 13 (Black),The town with a lake...The pier in the darkness...The lighthouse at its end...
1365,Page 14,The man who saved me...And then...Definitely next to...
1366,Page 15 (Cheryl in chair),"""Cheryl, I've changed my mind, why don't you come with me?""""Where to?"""
1367,Page 16,"This time I spoke with confidence.""Silent Hill...Yes, the lighthouse in Silent Hill.We're going to help someone that is in trouble there."""
1368,Page 17 (Black),"I took my amazed daughter's hand in mine and we bolted out of the house.The End D-2You will now receive the following Digital Trading Card:12. Twin Feeler_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-1リサの囁き                                             (Lisa leaning on a wall)Chapter 16   ""Hospital""Lisa's whispering"
1369,Page 1 (Lisa leaning on a wall),Lisa?What happened?Where's Alessa and Dahlia?
1370,Page 2,"Harry, listen.Something you said before has been bothering me.I just can't get it out of my head."
1371,Page 3,What is it Lisa?
1372,Page 4,"So I went to look in the basement. Even though I was scared as hell.Like you said, there were these creepy rooms."
1373,Page 5,"But nothing really unusual down there.But while I was down there, I got this weird feeling.Like I'd been there before."
1374,Page 6,"Like something happened there, but I can't quite remember somehow.What was it?Harry... help me...I'm so scared.I can't take this."
1375,Page 7,"It's only a temporary thing.You're in shock from when you were knocked out. Don't fret about it, you'llremember after a while..."
1376,Page 8,No.You don't understand...
1377,Page 9,Wait!Where do you think you're going?
1378,Page 10,......................................................................
1379,Page 11,Harry?
1380,Page 12,Lisa...What's the matter with you?
1381,Page 13,I get it now...Why I'm still alive even though everyone else is dead.I'm not the only one who's still walking around.I'm the same as them. I just hadn't noticed it before.
1382,Page 14,Lisa?
1383,Page 15,"Stay by me, Harry.Please.I'm so scared.Help me...Save me from them.Please...Harry..."
1384,Go to 16-2,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-2リサの願いに対して                                     (Lisa leaning on a wall)Chapter 16   ""Hospital""Responding to Lisa's request"
1385,Page 1 (Lisa leaning on a wall),Lisa...A ) Sorry...I cannot stay with you.
1386,Go to 16-3,B ) Don't worry. I will do what I can.
1387,Go to 16-4,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-3傍にいれない、とハリー                                 (Lisa leaning on a wall)Chapter 16   ""Hospital""Harry says ""I cannot stay with you"""
1388,Page 1 (Lisa leaning on a wall),"""I'm sorry but...There are things I have to take care of.I don't think that I can protect you.""Lisa has tears in her eyes.""I am afraid...I cannot do anything alone, I am a helpless woman.Please..."""
1389,Page 2,"I thought for a bit and came to a conclusion.""...I cannot do it. I love my daughter.""Lisa appealed to me in a tearful voice."
1390,Page 3,"""That girl that you don't even know if is alive or not, you don't evenknow where she is now. You should be worried about the person that is aliveright in front of you!"""
1391,Page 4,"I lightly exhaled.""No mater what you say, I must go...Please understand what I am going through....please."""
1392,Page 5,Saying that I turned toward the door. Lisa reached out to my shoulder.But I did not look back.
1393,Go to 16-5,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-4安心しろ、とハリー                                     (Lisa leaning on a wall)Chapter 16   ""Hospital""Harry says ""Don't worry"""
1394,Page 1 (Lisa leaning on a wall),"""Don't worry. I will do what I can.""A quiet smile appeared on Lisa's face.I softly hold her delicate body."
1395,Page 2,I'm happy... (Lisa)
1396,Page 3,"Lisa's body quivered.However, maybe that is just because she is relieved.She...looks at me with empty eyes, eyes that have lost their life.Then her lips began to tremble and a look of astonishment appears on her face."
1397,Go to 16-5,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-5リサの最期                                             (Lisa leaning on a wall)Chapter 16   ""Hospital""Lisa's end"
1398,Page 1 (Lisa beginning to die),Lisa's condition becomes abnormal.
1399,Page 2,"She then extends her hand out towards me.""Help me""She doesn't say it, but I know that is what she is saying from the movementof her lips."
1400,Page 3 (Lisa looking up),"While she stares into the air, Lisa's body appears to drift and wiggle as sheedges toward me one step at a time."
1401,Page 4,"She falls to her knees.She falls on her hands.With me fixed in her sight, Lisa is falling headlong down the staircaseto death.And then Lisa...stopped moving."
1402,Page 5 (Black),"With Lisa now no more than a doll in front of me, I once again noticethat I am inside the hospital, a place which is wrapped in an evilatmosphere that I have never seen the likes of."
1403,Page 6,"""Ask the doctor to let me quit being in charge of that patient.It's too weird.The room is filled with insects.Even with doors and windows shut they get in to spite me."
1404,Page 7,"To the hospital......Still alive, but with wounds that won't healBlood and pus flow from the bathroom faucet.I try to stop it but it won't turn off.Feeling bad.Need to throw up."
1405,Page 8,"But nothing comes out.Vomiting only bile.Need drug.Told the doctor I quit.Won't work at that hospital anymore.Someone, help me......"""
1406,Go to  17-1,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-6リサの疑問                                             (Lisa leaning on a wall)Chapter 16   ""Hospital""Lisa's question"
1407,"Page 1 (Lisa leaning on a wall, flickering)","LisaWhat happened?Where's Alessa, and Dahlia?"
1408,Page 2,Harry...Since before...I went to check out the basement like you said...
1409,Page 3,Lisa?
1410,Page 4,"I was on the verge of passing out, but now I am slowly gettingmore and more wide awake."
1411,Page 5,"""Lisa...you went to check out the basement?""""Yes...even though I was told never to go there...It was on my mind..."""
1412,Go to 16-7,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-7リサとの会話                                           (Lisa leaning on a wall)Chapter 16   ""Hospital""Talking with Lisa"
1413,Page 1 (Lisa leaning on a wall),I swallow hard.A ) Listen to more of her story.
1414,Go to 16-8,B ) Change the subject.
1415,Go to 16-9,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-8話の続き                                               (Lisa leaning on a wall)Chapter 16   ""Hospital""The rest of the story"
1416,Page 1 (Lisa leaning on a wall),"""And then...?""Lisa looks down a bit and then continues to speak.""Hey, Harry, do you know a man called Kaufmann?""The image of the pudgy man I had met several times came to mind."
1417,Page 2,"""Yeah...I have met him a few times. I believe he is a doctor at this hospital.""Lisa raised her head in surprise, and her eyes opened wide.And then she let out a long sigh."
1418,Page 3,"""Yes...For a long time I that there was something strange about it...Lately especially that...""I adjusted my sitting position and looked at Lisa as if I could seethrough her."
1419,Page 4,"""Especially?""""I am working as his assistant at this hospital.As for what is in any room, I should know better than him, I must know better."
1420,Page 5,"But when I learned that this hospital had a basement by strange chance,he suddenly got angry.He told me to never go near there...I was scared, so I never brought that subject up again."
1421,Page 6,"But then he changed.It wasn't just the way he treated me, but he was also irritated with everyoneelse, and no one wanted to go near him.That was around last summer."""
1422,Page 7,"I quietly listen to Lisa's story.""After that he began saying things that did not make a lot of sense.Things like ""This is the end of this world"" and ""Descent"" and so on...Stuff that sounded like weird religious terms..."
1423,Page 8,"""That all humans would disappear from the world and only he would survive...""""That the landscapes seen by our eyes were all false,"" he said nothing butthings like that..."
1424,Page 9,"And then...he killed himself."""
1425,Go to 16-10,"_______________________________________________________________________________第十六章　「病院」                            　    　　                   16-9話題を変えて                                           (Lisa leaning on a wall)Chapter 16   ""Hospital""Changing the subject"
1426,Page 1 (Lisa leaning on a wall),"I sensed that Lisa seemed to be having a hard time talking about what wewere discussing, so I changed the subject."
1427,Page 2,"""Oh...yeah, hey, Lisa.I met a man called Kaufmann in this hospital not long ago.He said that he was a doctor in this hospital, but...Do you know him?"""
1428,Page 3,"Lisa raised her head in surprise, and her eyes opened wide.And then she let out a long sigh."
1429,Page 4,"""Yes...For a long time I that there was something strange about it...Lately especially that...""I adjusted my sitting position and looked at Lisa as if I could seethrough her."
1430,Page 5,"""Especially?""""I am working as his assistant at this hospital.As for what is in any room, I should know better than him, I must know better."
1431,Page 6,"But when I learned that this hospital had a basement by strange chance,he suddenly got angry.He told me to never go near there...I was scared, so I never brought that subject up again."
1432,Page 7,"But then he changed.It wasn't just the way he treated me, but he was also irritated with everyoneelse, and no one wanted to go near him.That was around last summer."""
1433,Page 8,"I quietly listen to Lisa's story.""After that he began saying things that did not make a lot of sense.Things like ""This is the end of this world"" and ""Descent"" and so on...Stuff that sounded like weird religious terms..."
1434,Page 9,"""That all humans would disappear from the world and only he would survive...""""That the landscapes seen by our eyes were all false,"" he said nothing butthings like that..."
1435,Page 10,"And then...he killed himself."""
1436,Go to 16-10,"_______________________________________________________________________________第十六章　「病院」                            　    　　                  16-10カウフマンの自殺                                       (Lisa leaning on a wall)Chapter 16 ""Hospital""Kaufmann's suicide"
1437,Page 1 (Lisa leaning on a wall),"I was stunned.""...Suicide?""""Yes...he set himself on fire...The body was unidentifiable.""I pressed my hands down on my trembling legs."
1438,Page 2,"""That...that's impossible!I just met Kaufmann and spoke with him not long ago.Just who was that man?""Lisa looks amazed and smiles wryly while shaking her head from side to side."
1439,Page 3,"""It was Kaufmann.Doctor Michael Kaufmann...I guess he didn't die after all.There were too many mysteries surrounding his death, and even thepolice were troubled by it.With no real proof they concluded that it was suicide."""
1440,Go to 16-11,"_______________________________________________________________________________第十六章　「病院」                            　    　　                  16-11カウフマンについて                                     (Lisa leaning on a wall)Chapter 16 ""Hospital""About Kaufmann"
1441,Page 1 (Lisa leaning on a wall),"I took a deep breath.A ) ""Kaufmann was alive... Maybe he switched the bodies."""
1442,Go to 6-12,"B ) ""Perhaps I mistook the man I met for him."""
1443,Go to 6-13,"_______________________________________________________________________________第十六章　「病院」                            　    　　                  16-12死体のすり替え                                         (Lisa leaning on a wall)Chapter 16 ""Hospital""Switched the bodies"
1444,Page 1 (Lisa leaning on a wall),"""Maybe he switched the bodies?""""I don't know...But people have come forth that say that they have seen him recently.On top of that...They said it was inside this hospital."""
1445,Page 2,I was at a loss for words.
1446,Page 3,"""Don't tell me... that even you have had contact with him...""I recall my conversation with him.A dream?No, I don't think that was a dream.""So...he is in the basement?"""
1447,Page 4,"""I thought that as well.So I fearfully when down to the basement.But after moving just a bit forward I turned back.Just thinking about him being alive in that darkness was too dreadful...""As Lisa said this a tear rolled down her cheek."
1448,Page 5,"I placed my hands on Lisa's shoulders, and made up my mind.""Like I have told you before...I am looking for my daughter, Cheryl.I don't know who this Kaufmann guy really is, but does he know somethingabout the change in this town?"""
1449,Page 6,"Lisa doesn't answer.""Lisa, come with me to the basement.That might be where Cheryl is being held.Even if Cheryl is not there if we find Kaufmann then we might be able to talkto him."""
1450,Page 7,"Lisa thought for a bit and slightly nodded.""...Ok, let's go then."""
1451,Go to 6-14,"_______________________________________________________________________________第十六章　「病院」                            　    　　                  16-13勘違い？                                               (Lisa leaning on a wall)Chapter 16 ""Hospital""Mistook him for someone else?"
1452,Page 1 (Lisa leaning on a wall),"""Wait...Lisa, maybe I mistook him for someone else.After all, since I have come to Silent Hill nothing but strange things haveoccurred."
1453,Page 2,"It is as if I am a walking around in a dream world.Even talking to you now, I cannot say for sure that any of this is real."""
1454,Page 3,"Lisa shakes her head from side to side.""No...it was definitely him.He is alive...He switched the bodies and hid himself...Just what was he up to?"""
1455,Page 4,"I placed my hands on Lisa's shoulders, and made up my mind.""Like I have told you before...I am looking for my daughter, Cheryl.I don't know who this Kaufmann guy really is, but does he know somethingabout the change in this town?"""
1456,Page 5,"Lisa doesn't answer.""Lisa, come with me to the basement.That might be where Cheryl is being held.Even if Cheryl is not there if we find Kaufmann then we might be able to talkto him."""
1457,Page 6,"Lisa thought for a bit and slightly nodded.""...Ok, let's go then."""
1458,Go to 6-14,"_______________________________________________________________________________第十六章　「病院」                            　    　　                  16-14リサと地下倉庫へ                                       (Lisa leaning on a wall)Chapter 16 ""Hospital""Heading to the storehouse in the basement with Lisa"
1459,Page 1 (Hospital basement),Using the flashlight to light our way Lisa and I walked downstairs and headedto the storehouse in the basement.We entered the hidden room in the back of the storehouse and opened the heavyiron grate in the center. Lisa headed in first and I followed behind her.
1460,Page 2,"""It's cold...""Lisa mumbles to herself.It seemed as if we had ended up lost in a giant refrigerator.I couldn't imagine that a person could live down here.I thought about that again."
1461,Page 3,"If Cheryl is being held down here...My body trembled.第十六章　「病院」「鉄の扉」Chapter 16   ""Hospital""Metal Door"
1462,Page 4,"We finally reached the end of the passage.A solid-looking metal door towers in front of us.""I have never gone any farther than this.""Lisa's voice was shaking as she spoke."
1463,Page 5,"Lisa and I looked at each other and lightly nodded, then I placed my handon the handle of the door.The skin on the palm of my hand was so frozen by the cold metal that Ithought that my hand would get stuck to the handle.Lisa took a step back. I looked at the door, put my weight into handsand opened the door open with one pull."
1464,Page 6 (Black),"The door opened with a 'thunk'.Beyond it a passage no different than the one we had just followed extended.第十六章　「病院」「完全なる闇」Chapter 16   ""Hospital""Complete darkness"
1465,Page 7 (Hospital basement),"It is completely pitch black in there, and without my flashlight it seemsthat it would be utterly impossible to continue forward.I cannot understand why someone made this space so deep in the hospitalbasement."
1466,Page 8,"""Look!""Lisa said."
1467,Page 9,"""Lisa...? What's wrong?""""Wait a minute Harry... There is something drawn on the wall."""
1468,Page 10 (Red Mark of Samael),"I stopped and shined the flashlight on the wall that Lisa was pointing at.""Th...this is...""A familiar crest was drawn there.""Does...this mean something?"""
1469,Page 11,"""Lisa...since you have not left the hospital you wouldn't know, but this cresthas been drawn all throughout this town...Have you not seen it before?"""
1470,Page 12,"Lisa looked surprised and muttered.""...Nope...""That crest was also drawn on the floor.Upon closer inspection I found that the mark had been inscribed in placesall throughout this passage."
1471,Page 13,"The mark of Samael...I recall that that is what Dahlia called it.And then my body trembled...""Alessa...Is Alessa here?In this area...""第十六章　「病院」「今、なんて…」Chapter 16   ""Hospital""What did you just say..."
1472,Page 14,"""Eh""For an instant we looked each other in the faint light that was lightingthe darkness.""What...what did you just say?""""I said, Is Alessa here?""Lisa's face suddenly twisted in anger."
1473,Page 15,"""Why do you know about her? No one should have told you!""I was thrown off balance by Lisa's sudden rage.""I saw her several times before I met you.She called Dahlia ""Mama""...Are those two mother and daughter?"""
1474,Page 16,"Lisa looked down and her shoulders shook with anger.I had no idea why.""...What in the worldJust what is wrong with you?""""I...can no longer trust anyone..."""
1475,Page 17,"""Lisa...?""""I only did as I was told.Like a true believer obedient to the scripture, I continued eventhough I lost everything."""
1476,Page 18,"""What are you talking about?""""However, after all this...There is no such thing as god.There are only ugly humans, ruled by desire!""Lisa said that and then forcefully pounded on the wall."
1477,Page 19,"""So you know something. Won't you tell me please, Lisa?""Lisa smiles a bit, and then a creepy expression appears on her face.""You too...You are the same as them aren't you?Thinking that you know everything...Even now..."""
1478,Go to 10-15,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-15態度が急変したリサ                                     (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Lisa, who's attitude had changed suddenly"
1479,Page 1 (Red Mark of Samael),""".........""A ) ""Who are ""they""!?"""
1480,Go to 16-16,B ) Show her Alessa's diary.
1481,Go to 16-17,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-16彼ら、とは？                                           (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Who are ""they""?"
1482,Page 1 (Red Mark of Samael),"""Lisa?""""Heh-heh...I was a fool.""""Lisa! What is this all about?I had an accident while I was headed to this town and lost consciousness.When I came to I found that at some point I had arrived in Silent Hill."
1483,Page 2,"However, my daughter Cheryl was gone.While searching for her I came into to contact with Kaufmann, Dahlia,and then Alessa.I have already told you all of this.I don't know anything beyond that...really."""
1484,Go to 16-18,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-17アレッサの日記を見せる                                 (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Show her Alessa's diary"
1485,Page 1 (Red Mark of Samael),"""Here, look at this.""Lisa suspiciously snatches it."
1486,Page 2,"""April 15"""
1487,Page 3,From today this will be my new diary.Lisa secretly gave this to me as a present.And it means that soon I should be able to take my bandages off.
1488,Page 4,A bird landed on a branch of the tree outside my window.I gazed at it for a bit.Seeing those beautiful colors I thought again that it must be spring.
1489,Page 5,I wish I could play outside like the other children...
1490,Page 6,"It is now afternoon, and they have come again.I pretended to be asleep, and it looks like they did not notice."
1491,Page 7,"They talk quietly as not to be heard outside my room. I do not understandthe meaning of what they discussed.They never talk in this room, I thought."
1492,Page 8,"Lisa raises her head in surprise and I ask her a question.""""They""...do you mean the ones written about in there?""""Where on earth did you get this?"""
1493,Page 9,"""In Alessa's room.""""So she kept a diary. She even wrote about me...""Lisa smiled a bit."
1494,Page 10,"""Anyway...Are ""they"" the people that Alessa wrote about in there?Lisa?Please tell me what you know."""
1495,Go to 16-18,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-18リサの悟り                                             (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Lisa's enlightenment"
1496,Page 1 (Red Mark of Samael),"Before I finish talking Lisa shakes her head back and forth.""It's fine.I was used by that man. I know that.Maybe you are in cahoots with him, or maybe you were used as well. I don'tcare."
1497,Page 2,"Now that I know I will have my revenge.I continued to believe that she was really Alessa...I never thought that even that was a lie."""
1498,Page 3,"""Usedor not...I don't know what you're talking about...""第十六章　「病院」「驚愕に震えるリサ」Chapter 16   ""Hospital""Lisa shakes in amazement"
1499,Page 4,"And then Lisa's face twisted in amazement.""No...don't come...!I only did what I was told!"""
1500,Page 5,"Lisa's sight was fixed on someone behind me.""Lisa...?""""Why have you come for me?Shouldn't you be going after someone else!You have no reason to have a grudge against me!"""
1501,Page 6,I timidly turned around....And at that moment...
1502,Page 7 (Black),"My flashlight went out and the area was wrapped in absolute darkness.第十六章　「病院」 Hospital「何かがいる」Chapter 16   ""Hospital""Something is here"
1503,Page 8,"""KYAAA!""The scream echoed off the concrete walls...There is no mistaking it, it was Lisa's."
1504,Page 9,"Something is here.I have not heard Lisa since she screamed, but I can hear a low howling andan unpleasant sound that sounds like something crunching on something. Itis coming from somewhere very close to me."
1505,Go to 16-19,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-19闇の中の怪事                                           (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""The mystery in the darkness"
1506,Page 1 (Black),I...A ) move toward the direction that the sound is coming from.
1507,Go to 16-20,B ) immediately get away.
1508,Go to 16-21,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-20何の音だ？                                             (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""What is the sound?"
1509,Page 1 (Black),"""Lisa...""There is no response.Every now and then an uncomfortably warm liquid splashes on my arm.It is sticky and smells like blood, and is extremely unpleasant."
1510,Page 2,I take a few steps back.And then I decide to try getting away.After a few steps I have no idea of which way I came from.
1511,Page 3,Even so I continued to run.
1512,Page 4,"I try mindlessly fiddling with the switch on my flashlight.It only makes a clicking sound, and there is no sign that it will turn on.All I can do is run blindly."
1513,Page 5,Those unintelligible things that Lisa kept babbling about.Lisa's attitude suddenly changed at the moment I said Alessa's name.In cahoots? One of them?I don't understand.It is that I too am being controlled by someone?
1514,Page 6,What was it that was behind me...What was that existence that frightened Lisa that much...?
1515,Page 7,And where is Cheryl?
1516,Page 8,I don't know anything anymore.If what Lisa said was true then Kaufmann might be somewhere down herein this basement.
1517,Page 9,"He is said to have killed himself.However, I just saw him in the bar, and we spoke.At the moment I found the small bottle in the gas tank of the motorcyclehe gave me a furious look and yelled at me."
1518,Page 10,"There is no doubt, he is alive.And he must know something.An essential key regarding what is wrong with this town and Alessa'sexistence..."
1519,Go to 16-22,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-21この場を離れた方がいい                                 (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Getting away is best"
1520,Page 1 (Black),I began to run at full speed.
1521,Page 2,"From behind me another scream echoed, and it seemed to cut through the air.Was Lisa attacked by something? Or was she transformed?"
1522,Page 3,At any rate I was unable to help Lisa.
1523,Page 4,I don't know anything anymore.If what Lisa said was true then Kaufmann might be somewhere down herein this basement.
1524,Page 5,"He is said to have killed himself.However, I just saw him in the bar, and we spoke.At the moment I found the small bottle in the gas tank of the motorcyclehe gave me a furious look and yelled at me."
1525,Page 6,"There is no doubt, he is alive.And he must know something.An essential key regarding what is wrong with this town and Alessa'sexistence..."
1526,Go to 16-22,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-22扉に刻印された印章                                     (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""The crest marked on the door"
1527,Page 1 (Black),"Thud!I ran right into the wall in front of me, bounced off of it, andfell backwards.""Ouch..."""
1528,Page 2,"And then by chance my light begins to pour out from my flashlight.I rubbed the area around my lower back, stood up, and then shined thelight on the wall that was blocking my path."
1529,Page 3 (Red Mark of Samael),"The mark of Samael.It was drawn very large on the door. It has the power to deny the invasionof heretics.I shine the light around the area, but the circumstances are unexplainable.第十六章　「病院」「窮屈な立方体」Chapter 16   ""Hospital""The tight cube"
1530,Page 4 (Black),"I was trapped inside of a cramped cube, about 2 meters across."
1531,Page 5,The path I ran through to get here has suddenly vanished.In order to escape I can only open this heavy door.
1532,Page 6,"I was no longer surprised.Or rather, my mind was paralyzed and I was no longer able to be surprised.Perhaps saying it like that is best.What should be and what should not be have become reversed."
1533,Go to 16-23,"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-23窮屈な立方体の中で                                     (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Inside the cramped cube"
1534,Page 1 (Black),I...A ) open the door in front of me.
1535,Go to 16-24 (Ending C-1),B ) let my body go with the flow.
1536,Go to 16-25 (Ending C-2),"_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-24扉を開くハリー                                         (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Harry opens the door"
1537,Page 1 (Black),"I place my hand on the door.It opens much easier that I thought it would.An entrance to the deepest area.Dazzling light escapes from the inside, and I place my hands over myface and squint.(Headlights move toward screen)"
1538,Page 2,"But it was already too late.My body bounced like a ball, and smashed into the face of the rockseveral meters behind me."
1539,Page 3,"The vehicle that hit me crashed through the guard rail and fell down theside of the cliff.After seeing that my mind completely shut down, and all the elementsthat formed me returned to nothingness.The End C-1You will now receive the following Digital Trading Cards:7. Lisa8. Mumbler_______________________________________________________________________________第十六章　「病院地下」                        　    　　                  16-25流れに身を任せ                                         (Lisa leaning on a wall)Chapter 16 ""Hospital Basement""Let my body go with the flow"
1540,Page 1 (Black),"I gave up my resistance and closed my eyes.As I felt that all my actions up this point had been controlled by someoneelse, I just waited for that someone to tell me what would be next."
1541,Page 2,"My five senses are sharp...A noise that I had not heard until now...Light I had not sensed until now...Something is all around me, and seems to be filling me with its incrediblepower."
1542,Page 3,"The now red light passes through my eyelids, no it should be called apowerful, strong wave of red. It envelops me.My body temperature rises."
1543,Page 4,"It has come...I must recognize the existence of that great power.However, it doesn't mean that I have forgotten Cheryl."
1544,Page 5,It doesn't mean that I have forgotten.I feared that somewhere in my heart.
1545,Page 6,"With my eyes still closed, I tightly embraced the source of that faint light."
1546,Page 7,"While tightly holding on, my body was wrapped in flames.As the sacred flames burned my body, and reached all the way to my brain, Inever let go of that existence.The End C-2You will now receive the following Digital Trading Cards:17. Chemicals21. Cafe_______________________________________________________________________________第十七章　「不明」                             　    　　                  17-1最後の扉へと向かう                                           (Unknown corridor)Chapter 17 ""Nowhere""Heading toward the final door"
1547,Page 1 (Unknown corridor),"The pocket radio continues to make noise.The raging of the unknown things around me rocks my eardrums.Those monsters, which always approach shortly after I use my flashlight...It was all I could do to intimidate them with the gun while running away."
1548,Page 2,After running for a bit I realize that I am no longer in theoriginal hospital.I have no way of knowing where here is.
1549,Page 3,"Bridging the gap of my faint consciousness, I move from place to place, I ambeing moved by someone...Maybe that is the best way to think about it."
1550,Page 4,Or maybe I am just painfully wandering around inside my own nightmare?I cannot tell at all.I can only trust my senses and rely on my own judgment.
1551,Page 5,"And then I raise my head.A straight corridor extends forward from where I am standing.As I slowly walk forward one door seems to call out to me, and so Iapproach it.第十七章　「不明」「急階下する部屋」Chapter 17   ""Nowhere""The rapidly descending room"
1552,Page 6 (Black),"Boom!Suddenly the wall of the room creeks with a boom.And then the floor I was standing on begins to rapidly descend along withthe rest of the room.I felt like I would begin floating in the air, so I used my arms to bracemyself. And then I passed out...第十七章　「不明」「誰かの話し声が…」Chapter 17   ""Nowhere""Someone is talking..."
1553,Page 7,.........
1554,Page 8,It hurts...
1555,Page 9,My whole body hurts.When I come to I find that I am lying on the floor of a classroomin the elementary school. My body is spread out on the floor like theJapanese character 大.I can hear someone talking.I cannot make out what they are saying very well.
1556,Page 10,"As I lie on my back I can see who is talking just by looking around.I cannot believe my eyes.Over there I see Dahlia and Alessa. They look like ghosts, and I can seethrough their bodies."
1557,Page 11 (Dahlia and Alessa in school),"(No! No! I don't want to!)(Do what mommy tells you, now.)(I just want you to lend me a teeny bit of your power. That's all.)"
1558,Page 12,"(No! I don't want to do it!)(It will make everyone happy...and it's for your own good, too.)"
1559,Page 13,"(Oh, but mommy. I just want to be with you. Just two of us. Please understand.)"
1560,Page 14,"(Oh, yes, I see... Maybe mommy has been wrong.)(Mommy...)(Why didn't I see this before?)(There's no reason to wait...)"
1561,Page 15,"(Herein lies the mother's womb, containing the power to create life.(I could have done it all myself.)(Mommy?)第十七章　「不明」「教室」Chapter 17   ""Nowhere""Classroom"
1562,Page 16 (Black),"Finally, they suddenly disappear.The classroom regains its stillness as if nothing had happened.I got on my knees, stood up, and looked around my surroundings.Chairs and desks were arranged in order."
1563,Page 17,"Using them as support, I unsteadily walk toward the exit.At the moment I place my hand on the wooden sliding door it opens with greatforce as if it had a mind of its own. Then the large flow of air comingfrom beyond it thrusts me into a dark space."
1564,Page 18 (Nightmare hospital room),"I was forced down. I found that I had been thrown into a room of thehospital again.My body had rubbed on the disgustingly dirty floor.I picked my self up, and suppressed the urge to vomit while brushing offmy shirt several times."
1565,Page 19,"A videocassette recorder has been installed here, and it looks likeit can be used.I insert the tape that I had picked up at some point into it, and timidlypress the play button."
1566,"Page 20 (Lisa's video, animated)",After a moment of static a picture appears.On the screen Lisa appears. She is sitting alone with her elbows on adesk and her head down.I turn up the volume on the monitor and listen carefully.
1567,Page 21,(What is it?Still has an unusually high fever...Eyes don't open...Getting a pulse...But just barely breathing
1568,Page 22,"Her skin is all charred!Even when I change the bandages, the blood and puss just start oozing through!Why...What is keeping that child alive?"
